X,Y,Z0,Z1,Z2
22842.0,24744.75,208.4000000000001,708.4000000000001,1208.4
31739.5,6723.75,348.0,848.0,1348.0
19206.25,19820.25,230.54,730.54,1230.54
31701.75,16943.75,332.53,832.53,1332.53
34924.0,37581.0,100.75,600.75,1100.75
15746.0,20213.75,221.0,721.0,1221.0
22943.5,14466.75,240.6400000000001,740.6400000000001,1240.64
6537.25,22741.75,337.27,837.27,1337.27
20043.75,24180.5,214.0999999999999,714.0999999999999,1214.1
21333.25,29858.0,239.6300000000001,739.6300000000001,1239.63
33664.0,13158.25,224.6199999999999,724.6199999999999,1224.62
12790.0,3740.75,456.4100000000001,956.4100000000001,1456.41
3991.75,5630.5,546.5,1046.5,1546.5
16613.0,26205.0,206.81999999999996,706.8199999999999,1206.82
18223.0,11095.0,410.6099999999999,910.6099999999999,1410.61
12804.5,18122.5,293.0,793.0,1293.0
35074.0,39142.0,76.79999999999995,576.8,1076.8
8242.25,19205.25,308.0,808.0,1308.0
33115.25,21088.25,344.0,844.0,1344.0
13827.5,13187.5,439.71,939.71,1439.71
35039.5,35864.5,114.32999999999991,614.3299999999999,1114.33
17624.0,13980.0,277.6700000000001,777.6700000000001,1277.67
32069.5,5997.25,308.5,808.5,1308.5
21472.0,25594.25,210.24,710.24,1210.24
26574.75,13977.75,291.3599999999999,791.3599999999999,1291.36
32838.75,24833.0,203.1400000000001,703.1400000000001,1203.14
31985.5,11633.0,257.0,757.0,1257.0
38047.5,30129.5,91.0,591.0,1091.0
35158.75,29869.25,140.93000000000006,640.9300000000001,1140.93
14327.75,9077.0,456.0,956.0,1456.0
30978.25,14651.75,411.44000000000005,911.44,1411.44
34939.0,20985.75,312.78,812.78,1312.78
20014.75,20415.0,224.55999999999997,724.56,1224.56
6972.0,22684.0,309.0,809.0,1309.0
9013.5,36143.25,255.0999999999999,755.0999999999999,1255.1
20076.0,11932.0,231.70000000000005,731.7,1231.7
19349.5,29902.0,222.91000000000008,722.9100000000001,1222.91
14648.25,19094.0,206.8599999999999,706.8599999999999,1206.86
31833.0,12584.5,232.0,732.0,1232.0
7860.0,12792.5,474.3599999999999,974.3599999999999,1474.36
